法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
府省令,昭和四十一年大蔵省令第五十五号,関税法施行規則,かんぜいほうせこうきそく,,昭和四十一年九月二十八日,関税法施行規則の一部を改正する省令,令和七年財務省令第六十四号,令和七年十月一日,令和九年一月一日,,341M50000040055,https://laws.e-gov.go.jp/law/341M50000040055/20270101_507M60000040064,○
府省令,昭和四十一年大蔵省令第五十九号,戦没者等の遺族に対する特別弔慰金支給法施行令第一条第一項第三号に規定する担保権者を定める省令,せんぼつしゃとうのいぞくにたいするとくべつちょういきんしきゅうほうしこうれいだいいちじょうだいいっこうだいさんごうにきていするたんぽごんじゃをさだめるしょうれい,,昭和四十一年十月一日,,平成二十七年財務省令第十四号,平成二十七年三月三十一日,平成二十七年四月一日,,341M50000040059,https://laws.e-gov.go.jp/law/341M50000040059/20150401_427M60000040014,
府省令,昭和四十一年文部省令第三十六号,就学義務猶予免除者等の中学校卒業程度認定規則,しゅうがくぎむゆうよめんじょものとうのちゅうがっこうそつぎょうていどにんていきそく,,昭和四十一年七月一日,就学義務猶予免除者等の中学校卒業程度認定規則及び高等学校卒業程度認定試験規則の一部を改正する省令,令和二年文部科学省令第七号,令和二年三月二十五日,令和二年三月二十五日,,341M50000080036,https://laws.e-gov.go.jp/law/341M50000080036/20200325_502M60000080007,
府省令,昭和四十一年厚生省令第一号,毒物又は劇物を含有する物の定量方法を定める省令,どくぶつまたはげきぶつをがんゆうするもののていりょうほうほうをさだめるしょうれい,,昭和四十一年一月八日,不正競争防止法等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和元年厚生労働省令第二十号,令和元年六月二十八日,令和元年七月一日,,341M50000100001,https://laws.e-gov.go.jp/law/341M50000100001/20190701_501M60000100020,
府省令,昭和四十一年厚生省令第十八号,救護施設、更生施設、授産施設及び宿所提供施設の設備及び運営に関する基準,きゅうごしせつこうせいしせつじゅさんしせつおよびしゅくじょていきょうしせつのせつびおよびうんえいにかんするきじゅん,,昭和四十一年七月一日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和六年厚生労働省令第百六十四号,令和六年十二月二十七日,令和七年四月一日,,341M50000100018,https://laws.e-gov.go.jp/law/341M50000100018/20250401_506M60000100164,
府省令,昭和四十一年厚生省令第十九号,養護老人ホームの設備及び運営に関する基準,ようごろうじんほーむのせつびおよびうんえいにかんするきじゅん,,昭和四十一年七月一日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和六年厚生労働省令第百六十四号,令和六年十二月二十七日,令和七年四月一日,,341M50000100019,https://laws.e-gov.go.jp/law/341M50000100019/20250401_506M60000100164,
府省令,昭和四十一年厚生省令第二十二号,戦傷病者等の妻に対する特別給付金支給法施行規則,せんしょうびょうしゃとうのつまにたいするとくべつきゅうふきんしきゅうほうしこうきそく,,昭和四十一年七月一日,刑法等の一部を改正する法律及び刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律の施行に伴う厚生労働省関係省令の整理等に関する省令,令和七年厚生労働省令第六十二号,令和七年五月三十日,令和七年六月一日,,341M50000100022,https://laws.e-gov.go.jp/law/341M50000100022/20250601_507M60000100062,
府省令,昭和四十一年厚生省令第三十号,医薬品等に使用することができるタール色素を定める省令,いやくひんとうにしようすることができるたーるしきそをさだめるしょうれい,,昭和四十一年八月三十一日,不正競争防止法等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和元年厚生労働省令第二十号,令和元年六月二十八日,令和元年七月一日,,341M50000100030,https://laws.e-gov.go.jp/law/341M50000100030/20190701_501M60000100020,
府省令,昭和四十一年厚生省令第四十五号,製菓衛生師法施行規則,せいかえいせいしほうしこうきそく,,昭和四十一年十二月二十六日,製菓衛生師法施行規則の一部を改正する省令,令和七年厚生労働省令第二号,令和七年一月十六日,令和七年四月一日,,341M50000100045,https://laws.e-gov.go.jp/law/341M50000100045/20250401_507M60000100002,
府省令,昭和四十一年文部省・厚生省令第二号,管理栄養士学校指定規則,かんりえいようしがっこうしていきそく,,昭和四十一年三月二日,管理栄養士学校指定規則の一部を改正する省令,令和七年文部科学省・厚生労働省令第三号,令和七年十月二十九日,令和七年十一月一日,,341M50000180002,https://laws.e-gov.go.jp/law/341M50000180002/20251101_507M60000180003,
府省令,昭和四十一年文部省・厚生省令第三号,理学療法士作業療法士学校養成施設指定規則,りがくりょうほうしさぎょうりょうほうしがっこうようせいしせつしていきそく,,昭和四十一年三月三十日,歯科衛生士学校養成所指定規則等の一部を改正する省令,令和四年文部科学省・厚生労働省令第三号,令和四年九月三十日,令和四年十月一日,,341M50000180003,https://laws.e-gov.go.jp/law/341M50000180003/20221001_504M60000180003,
府省令,昭和四十一年通商産業省令第五十号,容器保安規則,ようきほあんきそく,,昭和四十一年五月二十五日,容器保安規則の一部を改正する省令,令和七年経済産業省令第五十七号,令和七年七月三十一日,令和七年八月一日,,341M50000400050,https://laws.e-gov.go.jp/law/341M50000400050/20250801_507M60000400057,
府省令,昭和四十一年通商産業省令第五十一号,冷凍保安規則,れいとうほあんきそく,,昭和四十一年五月二十五日,冷凍保安規則等の一部を改正する省令,令和七年経済産業省令第四十二号,令和七年四月十七日,令和七年四月十八日,,341M50000400051,https://laws.e-gov.go.jp/law/341M50000400051/20250418_507M60000400042,
府省令,昭和四十一年通商産業省令第五十二号,液化石油ガス保安規則,えきかせきゆがすほあんきそく,,昭和四十一年五月二十五日,液化石油ガス保安規則等の一部を改正する省令,令和七年経済産業省令第六十五号,令和七年十月一日,令和七年十月一日,,341M50000400052,https://laws.e-gov.go.jp/law/341M50000400052/20251001_507M60000400065,
府省令,昭和四十一年通商産業省令第五十三号,一般高圧ガス保安規則,いっぱんこうあつがすほあんきそく,,昭和四十一年五月二十五日,液化石油ガス保安規則等の一部を改正する省令,令和七年経済産業省令第六十五号,令和七年十月一日,令和七年十月一日,,341M50000400053,https://laws.e-gov.go.jp/law/341M50000400053/20251001_507M60000400065,
府省令,昭和四十一年通商産業省令第五十四号,高圧ガス保安法に基づく高圧ガス製造保安責任者試験等に関する規則,こうあつがすほあんほうにもとづくこうあつがすせいぞうほあんせきにんしゃしけんとうにかんするきそく,,昭和四十一年五月二十五日,火薬類取締法施行規則等の一部を改正する省令,令和五年経済産業省令第三十二号,令和五年六月九日,令和五年六月九日,,341M50000400054,https://laws.e-gov.go.jp/law/341M50000400054/20230609_505M60000400032,
府省令,昭和四十一年通商産業省令第五十五号,高圧ガス保安協会規則,こうあつがすほあんきょうかいきそく,,昭和四十一年五月二十五日,高圧ガス保安協会規則等の一部を改正する省令,令和六年経済産業省令第七十一号,令和六年十月二十三日,令和六年十月二十三日,,341M50000400055,https://laws.e-gov.go.jp/law/341M50000400055/20241023_506M60000400071,
府省令,昭和四十一年運輸省令第五十四号,小型船造船業法施行規則,こがたせんぞうせんぎょうほうせこうきそく　しょう,,昭和四十一年十月三日,自動車登録番号標交付代行者規則等の一部を改正する省令,令和六年国土交通省令第五十八号,令和六年四月三十日,令和六年六月三十日,,341M50000800054,https://laws.e-gov.go.jp/law/341M50000800054/20240630_506M60000800058,
府省令,昭和四十一年労働省令第二十三号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつしこうきそく,雇用対策法施行規則,昭和四十一年七月二十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則の一部を改正する省令,令和八年厚生労働省令第九十五号,令和八年五月二十九日,令和八年六月十四日,,341M50002000023,https://laws.e-gov.go.jp/law/341M50002000023/20260614_508M60000100095,
府省令,昭和四十一年労働省令第二十三号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつしこうきそく,雇用対策法施行規則,昭和四十一年七月二十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和八年厚生労働省令第十八号,令和八年二月二十六日,令和八年十月一日,,341M50002000023,https://laws.e-gov.go.jp/law/341M50002000023/20261001_508M60000100018,○
府省令,昭和四十一年労働省令第二十三号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつしこうきそく,雇用対策法施行規則,昭和四十一年七月二十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則の一部を改正する省令,令和八年厚生労働省令第九十五号,令和八年五月二十九日,令和九年四月一日,,341M50002000023,https://laws.e-gov.go.jp/law/341M50002000023/20270401_508M60000100095,○
府省令,昭和四十一年労働省令第二十六号,駐留軍関係離職者等臨時措置法に基づく就職指導に関する省令,ちゅうりゅうぐんかんけいりしょくしゃとうりんじそちほうにもとづくしゅうしょくしどうにかんするしょうれい,,昭和四十一年八月十五日,,平成十二年労働省令第四十五号,平成十二年十二月二十六日,平成十三年一月六日,,341M50002000026,https://laws.e-gov.go.jp/law/341M50002000026/20010106_412M50002000045,
府省令,昭和四十一年建設省令第三十九号,日本勤労者住宅協会法施行規則,にほんきんろうしゃじゅうたくきょうかいほうしこうきそく,,昭和四十一年十二月二十八日,,平成二十年国土交通省令第十二号,平成二十年三月三十一日,平成二十年四月一日,,341M50004000039,https://laws.e-gov.go.jp/law/341M50004000039/20080401_420M60000800012,
府省令,昭和四十一年総理府・建設省令第一号,交通安全施設等整備事業の推進に関する法律施行規則,こうつうあんぜんしせつとうせいびじぎょうのすいしんにかんするほうりつせこうきそく,,昭和四十一年四月一日,,平成二十八年内閣府・国土交通省令第一号,平成二十八年三月二十九日,平成二十八年四月一日,,341M50004002001,https://laws.e-gov.go.jp/law/341M50004002001/20160401_428M60000802001,
府省令,昭和四十一年農林省令第三十六号,野菜生産出荷安定法施行規則,やさいせいさんしゅっかあんていほうしこうきそく,,昭和四十一年七月一日,野菜生産出荷安定法施行規則及び地域資源を活用した農林漁業者等による新事業の創出等及び地域の農林水産物の利用促進に関する法律施行規則の一部を改正する省令,令和七年農林水産省令第五号,令和七年二月二十六日,令和八年四月一日,,341M50010000036,https://laws.e-gov.go.jp/law/341M50010000036/20260401_507M60000200005,
府省令,昭和四十一年農林省令第四十三号,入会林野等に係る権利関係の近代化の助長に関する法律施行規則,いりあいりんやとうにかかるけんりかんけいのきんだいかのじょちょうにかんするほうりつしこうきそく,,昭和四十一年八月十日,デジタル社会の形成を図るための規制改革を推進するための農林水産省関係省令の一部を改正する省令,令和五年農林水産省令第六十三号,令和五年十二月二十八日,令和六年四月一日,,341M50010000043,https://laws.e-gov.go.jp/law/341M50010000043/20240401_505M60000200063,
府省令,昭和四十一年大蔵省・農林省令第二号,農業信用保証保険法施行規則,のうぎょうしんようほしょうほけんほうしこうきそく,,昭和四十一年六月二十九日,農業信用保証保険法施行規則等の一部を改正する命令,令和五年内閣府・農林水産省令第六号,令和五年十二月二十八日,令和五年十二月二十八日,,341M50010040002,https://laws.e-gov.go.jp/law/341M50010040002/20231228_505M60000202006,
規則,昭和四十一年人事院規則一七―〇,人事院規則一七―〇（管理職員等の範囲）,じんじいんきそくじゅうななのぜろかんりしょくいんとうのはんい,,昭和四十一年七月九日,人事院規則一七―〇（管理職員等の範囲）の一部を改正する人事院規則,令和八年人事院規則一七―〇―一五二,令和八年三月二日,令和八年三月二日,,341RJNJ17000000,https://laws.e-gov.go.jp/law/341RJNJ17000000/20260302_508RJNJ17000152,
規則,昭和四十一年人事院規則一七―一,人事院規則一七―一（職員団体の登録）,じんじいんきそくじゅうななのいちしょくいんだんたいのとうろく,,昭和四十一年七月九日,,平成二十年人事院規則一七―一―二,平成二十年十一月二十八日,平成二十年十二月一日,,341RJNJ17001000,https://laws.e-gov.go.jp/law/341RJNJ17001000/20081201_420RJNJ17001002,
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律,令和八年法律第二十七号,令和八年六月三日,令和八年六月三日,,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20260603_508AC0000000027,
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和八年十月一日,,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20261001_507AC0000000013,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,日本学術会議法,令和七年法律第七十号,令和七年六月十八日,令和八年十月一日,,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20261001_507AC0000000070,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,経済社会情勢の変化を踏まえた企業の事業活動の持続的な発展を図るための産業競争力強化法等の一部を改正する法律,令和八年法律第二十九号,令和八年六月五日,令和八年十二月四日,公布の日から起算して六月を超えない範囲内において政令で定める日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20261204_508AC0000000029,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律,令和六年法律第六十号,令和六年六月二十一日,令和九年四月一日,,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20270401_506AC0000000060,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和九年六月十八日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律（令和六年法律第五十三号）附則第一条第四号に掲げる規定の施行の日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20270618_507AC0000000013,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和十年六月十三日,公布の日から起算して五年を超えない範囲内において政令で定める日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20280613_505AC0000000053,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和十年十二月十一日,医療法等の一部を改正する法律（令和七年法律第八十七号）附則第一条第九号に掲げる規定の施行の日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20281211_507AC0000000013,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和十一年十二月十一日,医療法等の一部を改正する法律（令和七年法律第八十七号）附則第一条第十号に掲げる規定の施行の日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20291211_507AC0000000013,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,地域公共交通の活性化及び再生に関する法律の一部を改正する法律,令和八年法律第三十五号,令和八年六月十日,令和八年六月十日,,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20260610_508AC0000000035,
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,労働安全衛生法及び作業環境測定法の一部を改正する法律,令和七年法律第三十三号,令和七年五月十四日,令和八年十月一日,,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20261001_507AC0000000033,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,物資の流通の効率化に関する法律の一部を改正する法律,令和八年法律第二十一号,令和八年五月二十日,令和八年十一月十九日,公布の日から起算して六月を超えない範囲内において政令で定める日,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20261119_508AC0000000021,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,地域公共交通の活性化及び再生に関する法律の一部を改正する法律,令和八年法律第三十五号,令和八年六月十日,令和八年十二月九日,公布の日から起算して六月を超えない範囲内において政令で定める日,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20261209_508AC0000000035,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,高圧ガス保安法等の一部を改正する法律,令和四年法律第七十四号,令和四年六月二十二日,令和八年十二月二十一日,,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20261221_504AC0000000074,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律,令和六年法律第六十号,令和六年六月二十一日,令和九年四月一日,,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20270401_506AC0000000060,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,譲渡担保契約及び所有権留保契約に関する法律の施行に伴う関係法律の整備等に関する法律,令和七年法律第五十七号,令和七年六月六日,令和九年十二月五日,譲渡担保契約及び所有権留保契約に関する法律（令和七年法律第五十六号）の施行の日,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20271205_507AC0000000057,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律等の一部を改正する法律,令和七年法律第三十七号,令和七年五月二十一日,令和十年五月二十日,公布の日から起算して三年を超えない範囲内において政令で定める日,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20280520_507AC0000000037,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,貨物自動車運送事業法の一部を改正する法律,令和七年法律第六十号,令和七年六月十一日,令和十年六月十日,公布の日から起算して三年を超えない範囲内において政令で定める日,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20280610_507AC1000000060,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律,令和七年法律第七十四号,令和七年六月二十日,令和十二年六月十九日,公布の日から起算して五年を超えない範囲内において政令で定める日,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/20300619_507AC0000000074,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和九十九年十二月三十一日,医療法等の一部を改正する法律（令和七年法律第　　　号）附則第一条第五号に掲げる規定の施行の日,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/21171231_507AC0000000013,○
法律,昭和四十二年法律第三十五号,登録免許税法,とうろくめんきょぜいほう,,昭和四十二年六月十二日,船員法等の一部を改正する法律,令和七年法律第三十二号,令和七年五月十四日,令和九十九年十二月三十一日,前号に定める日前の政令で定める日,342AC0000000035,https://laws.e-gov.go.jp/law/342AC0000000035/21171231_507AC0000000032,○
法律,昭和四十二年法律第五十七号,戦没者の父母等に対する特別給付金支給法,せんぼつしゃのふぼとうにたいするとくべつきゅうふきんしきゅうほう,,昭和四十二年七月十四日,民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,平成二十九年法律第四十五号,平成二十九年六月二日,令和二年四月一日,,342AC0000000057,https://laws.e-gov.go.jp/law/342AC0000000057/20200401_429AC0000000045,
法律,昭和四十二年法律第六十号,外国人漁業の規制に関する法律,がいこくじんぎょぎょうのきせいにかんするほうりつ,,昭和四十二年七月十四日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,342AC0000000060,https://laws.e-gov.go.jp/law/342AC0000000060/20250601_504AC0000000068,
法律,昭和四十二年法律第六十一号,船員災害防止活動の促進に関する法律,せんいんさいがいぼうしかつどうのそくしんにかんするほうりつ,,昭和四十二年七月十五日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,342AC0000000061,https://laws.e-gov.go.jp/law/342AC0000000061/20250601_504AC0000000068,
法律,昭和四十二年法律第七十五号,土地収用法の一部を改正する法律施行法,とちしゅうようほうのいちぶをかいせいするほうりつしこうほう,,昭和四十二年七月二十一日,都市計画法施行法,昭和四十三年法律第百一号,昭和四十三年六月十五日,昭和四十四年六月十四日,,342AC0000000075,https://laws.e-gov.go.jp/law/342AC0000000075/19690614_343AC0000000101,
法律,昭和四十二年法律第七十八号,漁業協同組合合併促進法,ぎょぎょうきょうどうくみあいがっぺいそくしんほう,,昭和四十二年七月二十四日,漁業法等の一部を改正する等の法律,平成三十年法律第九十五号,平成三十年十二月十四日,令和二年十二月一日,,342AC0000000078,https://laws.e-gov.go.jp/law/342AC0000000078/20201201_430AC0000000095,
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,医療法等の一部を改正する法律,令和七年法律第八十七号,令和七年十二月十二日,令和八年十月一日,,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20261001_507AC0000000087,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律,令和六年法律第六十号,令和六年六月二十一日,令和九年四月一日,,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20270401_506AC0000000060,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,健康保険法等の一部を改正する法律,令和八年法律第三十一号,令和八年六月五日,令和九年四月一日,,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20270401_508AC0000000031,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,全世代対応型の持続可能な社会保障制度を構築するための健康保険法等の一部を改正する法律,令和五年法律第三十一号,令和五年五月十九日,令和九年五月十八日,公布の日から起算して四年を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20270518_505AC0000000031,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,更生保護制度の充実を図るための保護司法等の一部を改正する法律,令和七年法律第八十二号,令和七年十二月十日,令和九年六月九日,公布の日から起算して一年六月を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20270609_507AC0000000082,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律,令和六年法律第五十三号,令和六年六月十九日,令和九年六月十八日,公布の日から起算して三年を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20270618_506AC0000000053,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,医療法等の一部を改正する法律,令和七年法律第八十七号,令和七年十二月十二日,令和九年十二月十一日,公布の日から起算して二年を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20271211_507AC0000000087,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,健康保険法等の一部を改正する法律,令和八年法律第三十一号,令和八年六月五日,令和十年六月四日,公布の日から起算して二年を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20280604_508AC0000000031,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,雇用保険法等の一部を改正する法律,令和六年法律第二十六号,令和六年五月十七日,令和十年十月一日,,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20281001_506AC0000000026,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,医療法等の一部を改正する法律,令和七年法律第八十七号,令和七年十二月十二日,令和十年十二月十一日,公布の日から起算して三年を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20281211_507AC0000000087,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,出入国管理及び難民認定法及び出入国管理及び難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律の一部を改正する法律,令和八年法律第三十二号,令和八年六月五日,令和十一年三月三十一日,令和十一年三月三十一日までの間において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20290331_508AC0000000032,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,医療法等の一部を改正する法律,令和七年法律第八十七号,令和七年十二月十二日,令和十一年十二月十一日,公布の日から起算して四年を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20291211_507AC0000000087,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律,令和七年法律第七十四号,令和七年六月二十日,令和十二年六月十九日,公布の日から起算して五年を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20300619_507AC0000000074,○
法律,昭和四十二年法律第八十一号,住民基本台帳法,じゅうみんきほんだいちょうほう,,昭和四十二年七月二十五日,健康保険法等の一部を改正する法律,令和八年法律第三十一号,令和八年六月五日,令和十三年六月四日,公布の日から起算して五年を超えない範囲内において政令で定める日,342AC0000000081,https://laws.e-gov.go.jp/law/342AC0000000081/20310604_508AC0000000031,○
法律,昭和四十二年法律第八十六号,札幌オリンピック冬季大会の準備等のために必要な特別措置に関する法律,さっぽろおりんぴっくとうきたいかいのじゅんびとうのためにひつようなとくべつそちにかんするほうりつ,,昭和四十二年七月二十七日,,昭和四十四年法律第二十号,昭和四十四年四月三十日,昭和四十四年四月三十日,,342AC0000000086,https://laws.e-gov.go.jp/law/342AC0000000086/19690430_344AC0000000020,
法律,昭和四十二年法律第九十二号,炭鉱災害による一酸化炭素中毒症に関する特別措置法,たんこうさいがいによるいっさんかたんそちゅうどくしょうにかんするとくべつそちほう,,昭和四十二年七月二十八日,,平成二十六年法律第八十二号,平成二十六年六月二十五日,平成二十七年十二月一日,,342AC0000000092,https://laws.e-gov.go.jp/law/342AC0000000092/20151201_426AC0000000082,
