法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
法律,明治二十三年法律第一号,保管金規則,ほかんきんきそく,,明治二十三年一月七日,印紙税法,昭和四十二年法律第二十三号,昭和四十二年五月三十一日,昭和四十二年五月三十一日,,123AC0000000001,https://laws.e-gov.go.jp/law/123AC0000000001/19670531_342AC0000000023,
府省令,明治二十五年閣令第四号,明治二十五年閣令第四号（各官庁ニ於テ公務上在外公使領事ヲ煩ハストキ外務大臣ヘ照会ノ件）,かくかんちょうにおいてこうむじょうざいがいこうしりょうじをわずらわすときがいむだいじんへしょうかいのけん,,明治二十五年五月二十七日,,,明治二十五年五月二十七日,明治二十五年五月二十七日,,125M10000001004,https://laws.e-gov.go.jp/law/125M10000001004/18920527_000000000000000,
勅令,明治二十六年勅令第二百六十一号,明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）,せいふのさいむにたいしさしおさえめいれいをうくるばあいにおけるかいけいじょうのきてい,,明治二十六年十二月二十七日,民事訴訟法等の一部を改正する法律の施行及び民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律の一部の施行に伴う関係政令の整備に関する政令,令和八年政令第三十八号,令和八年三月十八日,令和八年三月十八日,,126IO0000000261,https://laws.e-gov.go.jp/law/126IO0000000261/20260318_508CO0000000038,
勅令,明治二十七年勅令第二十三号,明治二十七年勅令第二十三号（大婚二十五年祝典之章制定ノ件）,だいこんにじゅうごねんしゅくてんゆきしょうせいていのけん,,明治二十七年三月六日,,,明治二十七年三月六日,明治二十七年三月六日,,127IO0000000023,https://laws.e-gov.go.jp/law/127IO0000000023/18940306_000000000000000,
府省令,明治二十七年閣令第一号,褒章条例取扱手続,ほうしょうじょうれいとりあつかいてつづき,,明治二十七年一月六日,,昭和三十年総理府令第一号,昭和三十年一月二十二日,昭和三十年一月二十二日,,127M10000001001,https://laws.e-gov.go.jp/law/127M10000001001/19550122_330M50000002001,
府省令,明治二十七年大蔵省令第二号,明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,せいふがだいさんさいむしゃとしてさしおさえへられたるさいむがくのしはらいていしはらいししっこうおよびきょうたくにかんするてつづき,,明治二十七年二月七日,政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続等の一部を改正する省令,令和元年財務省令第五号,令和元年六月二十一日,令和元年七月一日,,127M10000040002,https://laws.e-gov.go.jp/law/127M10000040002/20190701_501M60000040005,
法律,明治二十八年法律第二十八号,通貨及証券模造取締法,つうかおよびしょうけんもぞうとりしまりほう,,明治二十八年四月五日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,128AC0000000028,https://laws.e-gov.go.jp/law/128AC0000000028/20250601_504AC0000000068,
勅令,明治二十八年勅令第百六十七号,明治二十八年勅令第百六十七号（標準時ニ関スル件）,ひょうじゅんじにかんするけん,,明治二十八年十二月二十八日,,昭和十二年勅令第五百二十九号,昭和十二年九月二十四日,昭和十二年九月二十四日,,128IO0000000167,https://laws.e-gov.go.jp/law/128IO0000000167/19370924_312IO0000000529,
法律,明治二十九年法律第五号,国債証券買入銷却法,こくさいしょうけんかいいれしょうきゃくほう,,明治二十九年二月二十一日,郵政民営化法等の施行に伴う関係法律の整備等に関する法律,平成十七年法律第百二号,平成十七年十月二十一日,平成十七年十月二十一日,,129AC0000000005,https://laws.e-gov.go.jp/law/129AC0000000005/20051021_417AC0000000102,
法律,明治二十九年法律第八十九号,民法,みんぽう,,明治二十九年四月二十七日,民法等の一部を改正する法律,令和六年法律第三十三号,令和六年五月二十四日,令和八年四月一日,,129AC0000000089,https://laws.e-gov.go.jp/law/129AC0000000089/20260401_506AC0000000033,
法律,明治二十九年法律第八十九号,民法,みんぽう,,明治二十九年四月二十七日,譲渡担保契約及び所有権留保契約に関する法律の施行に伴う関係法律の整備等に関する法律,令和七年法律第五十七号,令和七年六月六日,令和九年十二月五日,譲渡担保契約及び所有権留保契約に関する法律（令和七年法律第五十六号）の施行の日,129AC0000000089,https://laws.e-gov.go.jp/law/129AC0000000089/20271205_507AC0000000057,○
法律,明治二十九年法律第八十九号,民法,みんぽう,,明治二十九年四月二十七日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和十年六月十三日,公布の日から起算して五年を超えない範囲内において政令で定める日,129AC0000000089,https://laws.e-gov.go.jp/law/129AC0000000089/20280613_505AC0000000053,○
法律,明治三十年法律第二十九号,砂防法,さぼうほう,,明治三十年三月三十日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,130AC0000000029,https://laws.e-gov.go.jp/law/130AC0000000029/20250601_504AC0000000068,
勅令,明治三十年勅令第三百八十二号,砂防法施行規程,さぼうほうしこうきてい,,明治三十年十月二十六日,,平成二十二年政令第七十八号,平成二十二年三月三十一日,平成二十二年四月一日,,130IO0000000382,https://laws.e-gov.go.jp/law/130IO0000000382/20100401_422CO0000000078,
法律,明治三十一年法律第十一号,民法施行法,みんぽうしこうほう,,明治三十一年六月二十一日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和七年十月一日,,131AC0000000011,https://laws.e-gov.go.jp/law/131AC0000000011/20251001_505AC0000000053,
法律,明治三十一年法律第十四号,外国法人の登記及び夫婦財産契約の登記に関する法律,がいこくほうじんのとうきおよびふうふざいさんけいやくのとうきにかんするほうりつ,,明治三十一年六月二十一日,国家公務員法等の一部を改正する法律,令和三年法律第六十一号,令和三年六月十一日,令和五年四月一日,,131AC0000000014,https://laws.e-gov.go.jp/law/131AC0000000014/20230401_503AC0000000061,
勅令,明治三十一年勅令第九十号,明治三十一年勅令第九十号（閏年ニ関スル件）,うるうどしにかんするけん,,明治三十一年五月十一日,,,明治三十一年五月十一日,明治三十一年五月十一日,,131IO0000000090,https://laws.e-gov.go.jp/law/131IO0000000090/18980511_000000000000000,
法律,明治三十二年法律第十五号,供託法,きょうたくほう,,明治三十二年二月八日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,132AC0000000015,https://laws.e-gov.go.jp/law/132AC0000000015/20160401_426AC0000000069,
法律,明治三十二年法律第四十六号,船舶法,せんぱくほう,,明治三十二年三月八日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,132AC0000000046,https://laws.e-gov.go.jp/law/132AC0000000046/20250601_504AC0000000068,
法律,明治三十二年法律第四十八号,商法,しょうほう,,明治三十二年三月九日,国家公務員法等の一部を改正する法律,令和三年法律第六十一号,令和三年六月十一日,令和五年四月一日,,132AC0000000048,https://laws.e-gov.go.jp/law/132AC0000000048/20230401_503AC0000000061,
法律,明治三十二年法律第四十九号,商法施行法,しょうほうしこうほう,,明治三十二年三月九日,商法及び国際海上物品運送法の一部を改正する法律,平成三十年法律第二十九号,平成三十年五月二十五日,平成三十一年四月一日,,132AC0000000049,https://laws.e-gov.go.jp/law/132AC0000000049/20190401_430AC0000000029,
法律,明治三十二年法律第五十号,明治三十二年法律第五十号（外国人ノ署名捺印及無資力証明ニ関スル法律）,がいこくじんのしょめいなついんおよびむしりょくしょうめいにかんするほうりつ,,明治三十二年三月十日,,大正十五年法律第七十一号,大正十五年四月二十四日,大正十五年四月二十四日,,132AC0000000050,https://laws.e-gov.go.jp/law/132AC0000000050/19260424_215AC0000000071,
法律,明治三十二年法律第九十三号,行旅病人及行旅死亡人取扱法,こうりょびょうにんおよびこうりょしぼうにんとりあつかいほう,,明治三十二年三月二十八日,デジタル社会の形成を図るための規制改革を推進するためのデジタル社会形成基本法等の一部を改正する法律,令和五年法律第六十三号,令和五年六月十六日,令和六年四月一日,,132AC0000000093,https://laws.e-gov.go.jp/law/132AC0000000093/20240401_505AC0000000063,
法律,明治三十二年法律第九十五号,水難救護法,すいなんきゅうごほう,,明治三十二年三月二十九日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,132AC0000000095,https://laws.e-gov.go.jp/law/132AC0000000095/20250601_504AC0000000068,
法律,明治三十二年法律第百一号,明治三十二年法律第百一号（国債ヲ外国ニ於テ募集スル場合ニ関スル法律）,こくさいをがいこくにおいてぼしゅうするばあいにかんするほうりつ,,明治三十二年四月二十日,,明治三十四年法律第十八号,明治三十四年四月四日,明治三十四年四月四日,,132AC0000000101,https://laws.e-gov.go.jp/law/132AC0000000101/19010404_134AC0000000018,
法律,明治三十二年法律第四十号,明治三十二年法律第四十号（失火ノ責任ニ関スル法律）,しっかのせきにんにかんするほうりつ,,明治三十二年三月八日,,,明治三十二年三月八日,明治三十二年三月八日,,132AC1000000040,https://laws.e-gov.go.jp/law/132AC1000000040/18990308_000000000000000,
勅令,明治三十二年勅令,日本国及希臘国間修好通商航海条約,にほんこくおよびぎりしゃこくかんしゅうこうつうしょうこうかいじょうやく,,明治三十二年十月十二日,,,明治三十二年十月十二日,明治三十二年十月十二日,,132IO0000000001,https://laws.e-gov.go.jp/law/132IO0000000001/18991012_000000000000000,
勅令,明治三十二年勅令第二百七十七号,明治三十二年勅令第二百七十七号（行旅病人死亡人等ノ引取及費用弁償ニ関スル件）,こうりょびょうにんしぼうにんとうのひきとりおよびひようべんしょうにかんするけん,,明治三十二年六月十七日,,平成六年政令第三百九十八号,平成六年十二月二十一日,平成七年四月一日,,132IO0000000277,https://laws.e-gov.go.jp/law/132IO0000000277/19950401_406CO0000000398,
府省令,明治三十二年大蔵省令第二十二号,明治三十二年大蔵省令第二十二号（英国倫敦ニ於テ募集スル公債ニ関スル手続方法）,えいこくろんどんにおいてぼしゅうするこうさいにかんするてつづきほうほう,,明治三十二年五月三十一日,,昭和二十七年大蔵省令第百三十五号,昭和二十七年十一月二十四日,昭和二十七年十一月二十四日,,132M10000040022,https://laws.e-gov.go.jp/law/132M10000040022/19521124_327M50000040135,
